date,Voltage,ChargeCapacity
6/22/2018 18:47,4.40002346,0.719914198
6/22/2018 18:49,4.399999619,0.761804402
6/22/2018 18:51,4.399946213,0.800482154
6/22/2018 18:53,4.399978638,0.838366091
6/22/2018 18:55,4.400000572,0.875610888
6/22/2018 18:57,4.400009155,0.908741593
6/22/2018 18:59,4.400015831,0.937860429
6/22/2018 19:01,4.399974823,0.964538097
6/22/2018 19:03,4.399989128,0.989591956
6/22/2018 19:05,4.399957657,1.013200641
6/22/2018 19:07,4.400005341,1.03556335
6/22/2018 19:09,4.400014877,1.036430478
6/22/2018 19:11,4.267956734,1.03643167
6/22/2018 19:13,4.255116463,1.03643167
6/22/2018 19:15,4.251838684,1.03643167
6/22/2018 19:17,3.321700096,1.03643167
6/22/2018 19:19,3.246520996,1.03643167
6/22/2018 19:21,3.162339211,1.03643167
6/22/2018 19:23,3.076674461,1.03643167
6/22/2018 19:25,2.999986649,1.03643167
6/22/2018 19:27,3.857690811,1.03643167
6/22/2018 19:29,3.876667023,1.03643167
6/22/2018 19:31,3.88079834,1.03643167
6/22/2018 19:33,4.200035095,0.011212847
6/22/2018 19:35,4.322052956,0.119622327
6/22/2018 19:37,4.362125397,0.228294343
6/22/2018 19:39,4.40001297,0.33582142
6/22/2018 19:41,4.400012016,0.428063542
6/22/2018 19:43,4.400030136,0.504176557
6/22/2018 19:45,4.400036812,0.568552256
6/22/2018 19:47,4.400020599,0.62450403
6/22/2018 19:49,4.400034904,0.674257338
6/22/2018 19:51,4.399991989,0.71938473
6/22/2018 19:53,4.399993896,0.760832071
6/22/2018 19:55,4.400032997,0.799202979
6/22/2018 19:57,4.399964333,0.834879279
6/22/2018 19:59,4.40000248,0.868265152
6/22/2018 20:01,4.40004158,0.899508297
6/22/2018 20:03,4.399953842,0.928769708
6/22/2018 20:05,4.399993896,0.956231177
6/22/2018 20:07,4.400025368,0.982075572
6/22/2018 20:09,4.400006294,1.006418109
6/22/2018 20:11,4.400008202,1.029375553
6/22/2018 20:13,4.400014877,1.039941907
6/22/2018 20:15,4.270125389,1.039945245
6/22/2018 20:17,4.257526398,1.039945245
6/22/2018 20:19,4.254293442,1.039945245
6/22/2018 20:21,3.331616402,1.039945245
6/22/2018 20:23,3.255949974,1.039945245
6/22/2018 20:25,3.171701431,1.039945245
6/22/2018 20:27,3.08762455,1.039945245
6/22/2018 20:29,3.000005722,1.039945245
6/22/2018 20:31,3.852673531,1.039945245
6/22/2018 20:33,3.87202549,1.039945245
6/22/2018 20:35,3.876288414,1.039945245
6/22/2018 20:37,4.200068474,0.013590834
6/22/2018 20:39,4.314822197,0.122002795
6/22/2018 20:41,4.353012085,0.230664849
6/22/2018 20:43,4.399971962,0.33912915
6/22/2018 20:45,4.40004921,0.434962422
6/22/2018 20:47,4.399952888,0.513899922
6/22/2018 20:49,4.399971962,0.580192089
6/22/2018 20:51,4.400001526,0.637366951
6/22/2018 20:53,4.400011063,0.687929988
6/22/2018 20:55,4.399987221,0.733462334
6/22/2018 20:57,4.399971008,0.775103211
6/22/2018 20:59,4.399986267,0.81366837
6/22/2018 21:01,4.399927139,0.849629581
6/22/2018 21:03,4.400032043,0.883250475
6/22/2018 21:05,4.400017738,0.91477114
6/22/2018 21:07,4.400000572,0.944391429
6/22/2018 21:09,4.400042534,0.972218692
6/22/2018 21:11,4.40002346,0.998369098
6/22/2018 21:13,4.400044441,1.022982359
6/22/2018 21:15,4.399972916,1.046183586
6/22/2018 21:17,4.39996624,1.061370134
6/22/2018 21:19,4.26953125,1.061371207
6/22/2018 21:21,4.25675106,1.061371207
6/22/2018 21:23,4.253554344,1.061371207
6/22/2018 21:25,3.329275131,1.061371207
6/22/2018 21:27,3.255640984,1.061371207
6/22/2018 21:29,3.169379234,1.061371207
6/22/2018 21:31,3.081449509,1.061371207
6/22/2018 21:33,2.999995232,1.061371207
6/22/2018 21:35,3.856333733,1.061371207
